trace,object,discriminator_confidence,survives_box_gates
intento_113431_yellow_trim,yellow_trim,0.0243,0
intento_113431_yellow_trim,yellow_trim,0.255,0
intento_113431_yellow_trim,yellow_trim,0.4416,0
intento_113431_yellow_trim,yellow_trim,0.4069,0
intento_113431_yellow_trim,yellow_trim,0.2249,0
intento_113431_yellow_trim,yellow_trim,0.2352,0
intento_113431_yellow_trim,yellow_trim,0.2002,0
intento_113431_yellow_trim,yellow_trim,0.4335,0
intento_113431_yellow_trim,yellow_trim,0.1393,0
intento_113431_yellow_trim,yellow_trim,0.6773,1
intento_113431_yellow_trim,yellow_trim,0.0185,0
intento_113431_yellow_trim,yellow_trim,0.4346,0
intento_113431_yellow_trim,yellow_trim,0.2587,0
intento_113431_yellow_trim,yellow_trim,0.1347,0
intento_113431_yellow_trim,yellow_trim,0.4091,0
intento_113431_yellow_trim,yellow_trim,0.1087,0
intento_113431_yellow_trim,yellow_trim,0.0746,0
intento_113431_yellow_trim,yellow_trim,0.4071,0
intento_113431_yellow_trim,yellow_trim,0.0376,0
intento_113431_yellow_trim,yellow_trim,0.3143,0
intento_113431_yellow_trim,yellow_trim,0.3916,0
intento_113431_yellow_trim,yellow_trim,0.203,0
intento_113431_yellow_trim,yellow_trim,0.1012,0
intento_113431_yellow_trim,yellow_trim,0.1607,0
intento_113431_yellow_trim,yellow_trim,0.2805,0
intento_113431_yellow_trim,yellow_trim,0.4322,0
intento_113431_yellow_trim,yellow_trim,0.0082,0
intento_113431_yellow_trim,yellow_trim,0.1566,0
intento_113431_yellow_trim,yellow_trim,0.02,0
intento_113431_yellow_trim,yellow_trim,0.5591,0
intento_113431_yellow_trim,yellow_trim,0.2734,0
intento_113431_yellow_trim,yellow_trim,0.4117,0
intento_113431_yellow_trim,yellow_trim,0.6953,1
intento_113431_yellow_trim,yellow_trim,0.3572,0
intento_113431_yellow_trim,yellow_trim,0.081,0
intento_113431_yellow_trim,yellow_trim,0.5064,0
intento_113431_yellow_trim,yellow_trim,0.476,0
intento_113431_yellow_trim,yellow_trim,0.5101,0
intento_113431_yellow_trim,yellow_trim,0.1595,0
intento_113431_yellow_trim,yellow_trim,0.003,0
intento_113431_yellow_trim,yellow_trim,0.2436,0
intento_113431_yellow_trim,yellow_trim,0.1889,0
intento_113431_yellow_trim,yellow_trim,0.6795,0
intento_113431_yellow_trim,yellow_trim,0.175,0
intento_113431_yellow_trim,yellow_trim,0.0208,0
intento_113431_yellow_trim,yellow_trim,0.245,0
intento_113431_yellow_trim,yellow_trim,0.2091,0
intento_113431_yellow_trim,yellow_trim,0.0106,0
intento_113431_yellow_trim,yellow_trim,0.7076,0
intento_113431_yellow_trim,yellow_trim,0.1187,0
intento_113431_yellow_trim,yellow_trim,0.7211,0
intento_113431_yellow_trim,yellow_trim,0.1937,0
intento_113431_yellow_trim,yellow_trim,0.6436,0
intento_113431_yellow_trim,yellow_trim,0.4134,0
intento_113431_yellow_trim,yellow_trim,0.0099,0
intento_113431_yellow_trim,yellow_trim,0.0215,0
intento_113431_yellow_trim,yellow_trim,0.2274,0
intento_113431_yellow_trim,yellow_trim,0.2447,0
intento_113431_yellow_trim,yellow_trim,0.4843,1
intento_113431_yellow_trim,yellow_trim,0.2013,0
intento_113431_yellow_trim,yellow_trim,0.4495,0
intento_113431_yellow_trim,yellow_trim,0.2481,0
intento_113431_yellow_trim,yellow_trim,0.3007,0
intento_113431_yellow_trim,yellow_trim,0.1199,0
intento_113431_yellow_trim,yellow_trim,0.0016,0
intento_113431_yellow_trim,yellow_trim,0.2284,0
intento_113431_yellow_trim,yellow_trim,0.5968,0
intento_113431_yellow_trim,yellow_trim,0.2337,0
intento_113431_yellow_trim,yellow_trim,0.3309,0
intento_113431_yellow_trim,yellow_trim,0.3306,0
intento_113431_yellow_trim,yellow_trim,0.1074,0
intento_113431_yellow_trim,yellow_trim,0.138,0
intento_113431_yellow_trim,yellow_trim,0.0304,0
intento_113431_yellow_trim,yellow_trim,0.1435,0
intento_113431_yellow_trim,yellow_trim,0.0247,1
intento_113431_yellow_trim,yellow_trim,0.0666,0
intento_113431_yellow_trim,yellow_trim,0.0304,1
intento_113431_yellow_trim,yellow_trim,0.1252,0
intento_113431_yellow_trim,yellow_trim,0.1349,0
intento_113431_yellow_trim,yellow_trim,0.3025,0
intento_113431_yellow_trim,yellow_trim,0.0421,0
intento_113431_yellow_trim,yellow_trim,0.2763,0
intento_113431_yellow_trim,yellow_trim,0.4544,0
intento_113431_yellow_trim,yellow_trim,0.3813,0
intento_113431_yellow_trim,yellow_trim,0.1664,0
intento_113431_yellow_trim,yellow_trim,0.2436,0
intento_113431_yellow_trim,yellow_trim,0.0109,0
intento_113431_yellow_trim,yellow_trim,0.1612,0
intento_113431_yellow_trim,yellow_trim,0.0133,0
intento_113431_yellow_trim,yellow_trim,0.0455,0
intento_113431_yellow_trim,yellow_trim,0.0536,0
intento_113431_yellow_trim,yellow_trim,0.0146,0
intento_113431_yellow_trim,yellow_trim,0.0921,0
intento_113431_yellow_trim,yellow_trim,0.1002,0
intento_113431_yellow_trim,yellow_trim,0.0817,0
intento_113431_yellow_trim,yellow_trim,0.1782,0
intento_113431_yellow_trim,yellow_trim,0.3388,0
intento_113431_yellow_trim,yellow_trim,0.0706,0
intento_113431_yellow_trim,yellow_trim,0.2226,0
intento_113431_yellow_trim,yellow_trim,0.2989,0
intento_113431_yellow_trim,yellow_trim,0.1532,0
intento_113431_yellow_trim,yellow_trim,0.014,1
intento_113431_yellow_trim,yellow_trim,0.1747,0
intento_113431_yellow_trim,yellow_trim,0.0022,1
intento_113431_yellow_trim,yellow_trim,0.0745,0
intento_113431_yellow_trim,yellow_trim,0.0007,0
intento_113431_yellow_trim,yellow_trim,0.2722,0
intento_113431_yellow_trim,yellow_trim,0.1439,0
intento_113431_yellow_trim,yellow_trim,0.0534,0
intento_113431_yellow_trim,yellow_trim,0.0983,0
intento_113431_yellow_trim,yellow_trim,0.013,0
intento_113431_yellow_trim,yellow_trim,0.3825,0
intento_113431_yellow_trim,yellow_trim,0.005,0
intento_113431_yellow_trim,yellow_trim,0.1108,1
intento_113431_yellow_trim,yellow_trim,0.0404,0
intento_113431_yellow_trim,yellow_trim,0.0591,0
intento_113431_yellow_trim,yellow_trim,0.1217,0
intento_113431_yellow_trim,yellow_trim,0.0137,1
intento_113431_yellow_trim,yellow_trim,0.2082,0
intento_113431_yellow_trim,yellow_trim,0.0045,1
intento_113431_yellow_trim,yellow_trim,0.0136,0
intento_113431_yellow_trim,yellow_trim,0.1386,0
intento_113431_yellow_trim,yellow_trim,0.0462,1
intento_113431_yellow_trim,yellow_trim,0.181,1
intento_113431_yellow_trim,yellow_trim,0.1161,0
intento_113431_yellow_trim,yellow_trim,0.0036,1
intento_113459_usb_c_cable,usb_c_cable,0.6845,0
intento_113459_usb_c_cable,usb_c_cable,0.6891,0
intento_113459_usb_c_cable,usb_c_cable,0.2483,0
intento_113459_usb_c_cable,usb_c_cable,0.4683,1
intento_113459_usb_c_cable,usb_c_cable,0.4214,0
intento_113459_usb_c_cable,usb_c_cable,0.3622,1
intento_113459_usb_c_cable,usb_c_cable,0.7715,0
intento_113459_usb_c_cable,usb_c_cable,0.0079,1
intento_113459_usb_c_cable,usb_c_cable,0.0521,0
intento_113459_usb_c_cable,usb_c_cable,0.0343,0
intento_113459_usb_c_cable,usb_c_cable,0.4274,0
intento_113459_usb_c_cable,usb_c_cable,0.1199,0
intento_113459_usb_c_cable,usb_c_cable,0.4524,0
intento_113459_usb_c_cable,usb_c_cable,0.0771,0
intento_113459_usb_c_cable,usb_c_cable,0.2073,1
intento_113459_usb_c_cable,usb_c_cable,0.035,1
intento_113459_usb_c_cable,usb_c_cable,0.2628,0
intento_113459_usb_c_cable,usb_c_cable,0.0489,0
intento_113459_usb_c_cable,usb_c_cable,0.038,0
intento_113459_usb_c_cable,usb_c_cable,0.5819,1
intento_113459_usb_c_cable,usb_c_cable,0.1038,0
intento_113459_usb_c_cable,usb_c_cable,0.0556,1
intento_113459_usb_c_cable,usb_c_cable,0.1038,1
intento_113459_usb_c_cable,usb_c_cable,0.3567,0
intento_113459_usb_c_cable,usb_c_cable,0.089,0
intento_113459_usb_c_cable,usb_c_cable,0.832,1
intento_113459_usb_c_cable,usb_c_cable,0.1806,1
intento_113459_usb_c_cable,usb_c_cable,0.6855,1
intento_113459_usb_c_cable,usb_c_cable,0.1149,1
intento_113459_usb_c_cable,usb_c_cable,0.0478,0
intento_113459_usb_c_cable,usb_c_cable,0.0457,0
intento_113459_usb_c_cable,usb_c_cable,0.2651,0
intento_113459_usb_c_cable,usb_c_cable,0.226,1
intento_113459_usb_c_cable,usb_c_cable,0.1996,0
intento_113459_usb_c_cable,usb_c_cable,0.2337,0
intento_113459_usb_c_cable,usb_c_cable,0.1133,1
intento_113459_usb_c_cable,usb_c_cable,0.4683,0
intento_113459_usb_c_cable,usb_c_cable,0.5834,1
intento_113459_usb_c_cable,usb_c_cable,0.3495,1
intento_113459_usb_c_cable,usb_c_cable,0.2053,1
intento_113459_usb_c_cable,usb_c_cable,0.6854,1
intento_113459_usb_c_cable,usb_c_cable,0.1917,1
intento_113459_usb_c_cable,usb_c_cable,0.081,1
intento_113459_usb_c_cable,usb_c_cable,0.4764,0
intento_113459_usb_c_cable,usb_c_cable,0.7745,1
intento_113459_usb_c_cable,usb_c_cable,0.0499,0
intento_113459_usb_c_cable,usb_c_cable,0.1446,1
intento_113459_usb_c_cable,usb_c_cable,0.5279,0
intento_113459_usb_c_cable,usb_c_cable,0.1432,1
intento_113459_usb_c_cable,usb_c_cable,0.0791,0
intento_113459_usb_c_cable,usb_c_cable,0.1327,1
intento_113459_usb_c_cable,usb_c_cable,0.1475,1
intento_113459_usb_c_cable,usb_c_cable,0.2683,1
intento_113459_usb_c_cable,usb_c_cable,0.0302,1
intento_113459_usb_c_cable,usb_c_cable,0.1191,0
intento_113459_usb_c_cable,usb_c_cable,0.0321,0
intento_113459_usb_c_cable,usb_c_cable,0.0735,1
intento_113459_usb_c_cable,usb_c_cable,0.0506,0
intento_113459_usb_c_cable,usb_c_cable,0.4067,1
intento_113459_usb_c_cable,usb_c_cable,0.85,0
intento_113459_usb_c_cable,usb_c_cable,0.3571,1
intento_113459_usb_c_cable,usb_c_cable,0.3928,0
intento_113459_usb_c_cable,usb_c_cable,0.1179,0
intento_113459_usb_c_cable,usb_c_cable,0.7161,0
intento_113459_usb_c_cable,usb_c_cable,0.2277,0
intento_113459_usb_c_cable,usb_c_cable,0.1121,1
intento_113459_usb_c_cable,usb_c_cable,0.3062,0
intento_113459_usb_c_cable,usb_c_cable,0.1399,1
intento_113459_usb_c_cable,usb_c_cable,0.0483,0
intento_113459_usb_c_cable,usb_c_cable,0.2498,1
intento_113459_usb_c_cable,usb_c_cable,0.0401,1
intento_113459_usb_c_cable,usb_c_cable,0.0314,0
intento_113459_usb_c_cable,usb_c_cable,0.3986,1
intento_113459_usb_c_cable,usb_c_cable,0.4942,0
intento_113459_usb_c_cable,usb_c_cable,0.0577,0
intento_113459_usb_c_cable,usb_c_cable,0.7575,1
intento_113459_usb_c_cable,usb_c_cable,0.0505,1
intento_113459_usb_c_cable,usb_c_cable,0.5523,1
intento_113459_usb_c_cable,usb_c_cable,0.6108,0
intento_113459_usb_c_cable,usb_c_cable,0.5147,0
intento_113459_usb_c_cable,usb_c_cable,0.5951,0
intento_113459_usb_c_cable,usb_c_cable,0.0738,1
intento_113459_usb_c_cable,usb_c_cable,0.21,1
intento_113459_usb_c_cable,usb_c_cable,0.5441,1
intento_113459_usb_c_cable,usb_c_cable,0.5163,1
intento_113459_usb_c_cable,usb_c_cable,0.1496,0
intento_113459_usb_c_cable,usb_c_cable,0.6523,1
intento_113459_usb_c_cable,usb_c_cable,0.2568,0
intento_113459_usb_c_cable,usb_c_cable,0.0677,0
intento_113459_usb_c_cable,usb_c_cable,0.0243,0
intento_113459_usb_c_cable,usb_c_cable,0.4644,1
intento_113459_usb_c_cable,usb_c_cable,0.1071,1
intento_113459_usb_c_cable,usb_c_cable,0.0762,1
intento_113459_usb_c_cable,usb_c_cable,0.0294,0
intento_113459_usb_c_cable,usb_c_cable,0.1517,0
intento_113459_usb_c_cable,usb_c_cable,0.3294,0
intento_113459_usb_c_cable,usb_c_cable,0.1128,1
intento_113459_usb_c_cable,usb_c_cable,0.2081,1
intento_113459_usb_c_cable,usb_c_cable,0.4938,0
intento_113459_usb_c_cable,usb_c_cable,0.0387,0
intento_113459_usb_c_cable,usb_c_cable,0.1925,0
intento_113459_usb_c_cable,usb_c_cable,0.5337,0
intento_113459_usb_c_cable,usb_c_cable,0.0084,1
intento_113459_usb_c_cable,usb_c_cable,0.0158,1
intento_113459_usb_c_cable,usb_c_cable,0.4764,1
intento_113459_usb_c_cable,usb_c_cable,0.8405,0
intento_113459_usb_c_cable,usb_c_cable,0.7531,1
intento_113459_usb_c_cable,usb_c_cable,0.0728,1
intento_113459_usb_c_cable,usb_c_cable,0.2934,0
intento_113459_usb_c_cable,usb_c_cable,0.193,1
intento_113459_usb_c_cable,usb_c_cable,0.2067,0
intento_113459_usb_c_cable,usb_c_cable,0.527,1
intento_113459_usb_c_cable,usb_c_cable,0.0548,1
intento_113459_usb_c_cable,usb_c_cable,0.7384,1
intento_113459_usb_c_cable,usb_c_cable,0.0228,0
intento_113459_usb_c_cable,usb_c_cable,0.416,0
intento_113459_usb_c_cable,usb_c_cable,0.0372,1
intento_113459_usb_c_cable,usb_c_cable,0.09,0
intento_113459_usb_c_cable,usb_c_cable,0.5243,0
intento_113459_usb_c_cable,usb_c_cable,0.6675,0
intento_113459_usb_c_cable,usb_c_cable,0.4821,0
intento_113459_usb_c_cable,usb_c_cable,0.4705,0
intento_113459_usb_c_cable,usb_c_cable,0.3032,0
intento_113459_usb_c_cable,usb_c_cable,0.3954,0
intento_113459_usb_c_cable,usb_c_cable,0.0425,0
intento_113459_usb_c_cable,usb_c_cable,0.5483,1
intento_113459_usb_c_cable,usb_c_cable,0.079,1
intento_113459_usb_c_cable,usb_c_cable,0.3821,1
intento_113459_usb_c_cable,usb_c_cable,0.0794,1
intento_113459_usb_c_cable,usb_c_cable,0.051,1
intento_113459_usb_c_cable,usb_c_cable,0.2127,1
intento_113459_usb_c_cable,usb_c_cable,0.0767,1
intento_113459_usb_c_cable,usb_c_cable,0.6782,0
intento_113459_usb_c_cable,usb_c_cable,0.3836,0
intento_113459_usb_c_cable,usb_c_cable,0.6405,0
intento_113459_usb_c_cable,usb_c_cable,0.0346,1
intento_113459_usb_c_cable,usb_c_cable,0.4201,0
intento_113459_usb_c_cable,usb_c_cable,0.1776,1
intento_113459_usb_c_cable,usb_c_cable,0.7363,0
intento_113459_usb_c_cable,usb_c_cable,0.0151,0
intento_113459_usb_c_cable,usb_c_cable,0.6683,1
intento_113459_usb_c_cable,usb_c_cable,0.0816,0
intento_113459_usb_c_cable,usb_c_cable,0.206,1
intento_113459_usb_c_cable,usb_c_cable,0.5759,0
intento_113459_usb_c_cable,usb_c_cable,0.2284,0
intento_113459_usb_c_cable,usb_c_cable,0.0893,0
intento_113459_usb_c_cable,usb_c_cable,0.3586,1
intento_113459_usb_c_cable,usb_c_cable,0.6933,1
intento_113459_usb_c_cable,usb_c_cable,0.133,1
intento_113459_usb_c_cable,usb_c_cable,0.0432,1
intento_113459_usb_c_cable,usb_c_cable,0.1149,1
intento_113459_usb_c_cable,usb_c_cable,0.1537,0
intento_113459_usb_c_cable,usb_c_cable,0.0558,0
intento_113459_usb_c_cable,usb_c_cable,0.4729,0
intento_113459_usb_c_cable,usb_c_cable,0.2279,1
intento_113459_usb_c_cable,usb_c_cable,0.6536,0
intento_113459_usb_c_cable,usb_c_cable,0.0709,0
intento_113459_usb_c_cable,usb_c_cable,0.1125,1
intento_113459_usb_c_cable,usb_c_cable,0.2255,0
intento_113459_usb_c_cable,usb_c_cable,0.1885,1
