log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
601_caja_run18_textura_final.log,black_gloves,P1,off,400,,,,,79,15,3,,
601_caja_run1_cayo_al_suelo.log,black_gloves,P1,off,400,,,,,69,69,10,,OK
601_caja_run3_pick_OK_place_en_borde.log,black_gloves,P1,off,400,,,,,66,7,2,,OK
601_caja_run4_y020_1de1.log,black_gloves,P1,off,400,,,,,56,8,4,,OK
601_caja_run5_cotas_y_placefix_1de1.log,black_gloves,P1,off,400,,,,,63,7,1,,OK
601_caja_run6_tapa120_cortado.log,black_gloves,P1,off,400,,,,,61,10,4,,OK
601_caja_run6_tapa120_cortado.log,brown_gloves,P1,off,400,,,,,72,11,1,,OK
601_caja_run6_tapa120_cortado.log,wireless_mouse,P1,off,400,,,,,,,,,
601_caja_run7_tapa170_6de6.log,black_gloves,P1,off,400,,,,,66,7,3,,OK
601_caja_run7_tapa170_6de6.log,brown_gloves,P1,off,400,,,,,70,7,6,,OK
601_caja_run7_tapa170_6de6.log,wireless_mouse,P1,off,400,,,,,,,,,OK
601_caja_run7_tapa170_6de6.log,usb_c_cable,P1,off,400,,,,,102,54,37,,OK
601_caja_run7_tapa170_6de6.log,pink_mesh,P1,off,400,,,,,102,18,3,,OK
601_caja_run7_tapa170_6de6.log,neceser_versace,P1,off,400,,,,,122,76,57,,OK
601_caja_run9_MEDIDA_12.7mm.log,black_gloves,P1,off,400,,,,,,,,,
sweep_mesa.log,camiseta_doblada,P1,off,400,,,,,,,,,
run_1336_camiseta_doblada_P1.log,camiseta_doblada,P1,off,400,,,,,,,,,
run_AB_gelatin_iny2.log,gelatin_box,P1,on,400,284,50,131,116,280,263,123,123,OK
run_AB_gelatin_inyectada.log,gelatin_box,P1,off,400,,,,,,,,,
run_AB_gelatin_pose_wh.log,gelatin_box,P1,on,400,283,63,116,117,276,257,127,127,OK
run_B_brown.log,brown_gloves,P1,off,400,,,,,79,15,5,,PLACE-FAIL
run_B_brown.log,brown_gloves,P2,off,400,,,,,74,11,1,,PLACE-FAIL
run_B_brown.log,brown_gloves,P3,off,400,,,,,,,,,
run_CTRL_gelatin_banco.log,gelatin_box,P1,on,400,257,83,117,143,248,240,159,159,OK
run_E1_centro35_0806.log,brown_gloves,P1,on,400,188,63,86,212,188,171,13,13,PLACE-FAIL
run_E1_centro35_0806.log,brown_gloves,P2,on,400,170,47,91,230,170,160,3,3,OK
run_E2_estrecho_pared_0806.log,brown_gloves,P1,on,400,41,2,19,359,40,15,1,1,PICK-FAIL
run_E2_estrecho_pared_0806.log,brown_gloves,P2,on,400,20,0,8,380,20,9,,0,PLACE-FAIL
run_E3_curobo_estrecho_0806.log,brown_gloves,P1,on,400,30,1,22,370,28,16,1,0,PICK-FAIL
