trace,object,n_raw,n_pointing_up,n_in_cone60,n_in_cone60_with_flip,n_regenerated
intento_113431_yellow_trim,yellow_trim,400,205,121,215,128
intento_113459_usb_c_cable,usb_c_cable,400,204,91,180,204
intento_113814_yellow_trim,yellow_trim,400,165,156,233,133
intento_113830_yellow_trim,yellow_trim,400,196,108,192,120
intento_113854_usb_c_cable,usb_c_cable,400,183,102,177,194
intento_114332_yellow_trim,yellow_trim,400,197,105,192,117
intento_114359_usb_c_cable,usb_c_cable,400,214,84,162,170
intento_115148_yellow_trim,yellow_trim,400,197,114,217,130
intento_115218_usb_c_cable,usb_c_cable,400,193,96,164,172
intento_115911_yellow_trim,yellow_trim,400,191,115,198,117
intento_115933_usb_c_cable,usb_c_cable,400,215,82,162,172
intento_120502_black_gloves,black_gloves,400,183,89,163,111
intento_120542_black_gloves,black_gloves,400,190,82,165,150
intento_120607_usb_c_cable,usb_c_cable,400,183,87,158,183
intento_120635_black_gloves,black_gloves,400,195,84,149,93
intento_121459_black_gloves,black_gloves,400,198,88,180,135
intento_121532_usb_c_cable,usb_c_cable,400,187,84,148,179
intento_122342_black_gloves,black_gloves,400,181,100,185,114
intento_122348_black_gloves,black_gloves,400,181,100,185,76
intento_122413_usb_c_cable,usb_c_cable,400,197,81,167,189
intento_125136_black_gloves,black_gloves,400,169,128,209,106
intento_125218_black_gloves,black_gloves,400,180,93,165,136
intento_125253_usb_c_cable,usb_c_cable,400,187,86,150,175
intento_125956_black_gloves,black_gloves,400,192,90,170,130
intento_130030_usb_c_cable,usb_c_cable,400,192,97,169,192
intento_132004_black_gloves,black_gloves,400,183,90,167,127
intento_132019_black_gloves,black_gloves,400,190,73,151,159
intento_132051_usb_c_cable,usb_c_cable,400,207,89,161,193
intento_134144_black_gloves,black_gloves,400,185,98,190,111
intento_134148_black_gloves,black_gloves,400,185,98,190,78
intento_134149_black_gloves,black_gloves,400,185,98,190,141
intento_134200_usb_c_cable,usb_c_cable,400,200,70,151,181
intento_134213_black_gloves,black_gloves,400,185,96,178,146
intento_135241_camiseta_doblada,camiseta_doblada,400,204,55,111,134
intento_135316_camiseta_doblada,camiseta_doblada,400,193,72,121,254
intento_135328_camiseta_doblada,camiseta_doblada,400,179,102,171,236
intento_135341_camiseta_doblada,camiseta_doblada,400,190,93,159,240
intento_135353_camiseta_doblada,camiseta_doblada,400,193,95,181,254
intento_135405_camiseta_doblada,camiseta_doblada,400,235,60,132,298
intento_135414_camiseta_doblada,camiseta_doblada,400,178,94,150,239
intento_135426_camiseta_doblada,camiseta_doblada,400,203,82,174,376
intento_135444_camiseta_doblada,camiseta_doblada,400,185,53,106,330
intento_135454_camiseta_doblada,camiseta_doblada,400,194,98,193,398
intento_135508_camiseta_doblada,camiseta_doblada,400,184,87,151,400
intento_135512_camiseta_doblada,camiseta_doblada,400,189,84,156,400
